Feature,Importance
Team1_WinPercentage,0.008824016842357152
Diff_Seed,0.008601839602858773
Team1_GamesPlayed,0.007554192353764366
Ratio_TeamTurnoverPercentage,0.007025767773075486
HigherSeed,0.00698850024686778
Diff_PointsDifferential,0.0068120763439750934
Diff_AvgRank,0.005865505150157801
Diff_PointsPerGame,0.005737852060778881
Team2_GamesPlayed,0.005544022234196233
Diff_OpponentPointsPerGame,0.004986648862254717
Team2_TeamDefensiveReboundPercentage,0.0047602453059453435
Team2_WinPercentage,0.003954937411217818
Ratio_TeamFreeThrowRate,0.0039334510890456035
Team2_OpponentPointsPerGame,0.00377824574483665
Diff_TeamFreeThrowRate,0.0037210060260262634
Diff_TeamPF,0.0036184215175035115
Team2_PointsDifferential,0.003359450757680993
Diff_Team3PPercentage,0.0033193365078724502
Team1_TeamAst,0.003300680188727956
Team1_TeamOR,0.0031364914020446054
Diff_TeamFGPercentage,0.003071242624332049
Team1_Seed,0.003007347361109569
Team2_TeamFGPercentage,0.0027767920731878947
Ratio_Team3PPercentage,0.002589270329269089
Team2_TeamAssistPercentage,0.002540028915779713
Team2_TeamOR,0.002477383223774321
Diff_TeamDR,0.0024091378620805792
Team2_TeamEffectiveFGPercentage,0.0023242586967104906
Team1_OpponentPointsPerGame,0.0022214612259745525
Team2_TeamTO,0.0021352866807075157
Ratio_TeamOffensiveReboundPercentage,0.0021136304616351407
Ratio_TeamDR,0.001839165027590406
Ratio_PointsPerGame,0.001681922760219412
Team1_TeamPF,0.0015712097409436242
Team1_TeamAssistPercentage,0.0015049120371406488
Diff_TeamOffensiveReboundPercentage,0.0013692307455953402
Team2_Seed,0.0011287225035760296
Team1_TeamStl,0.0011182686387308683
Team2_TeamFreeThrowRate,0.0011047618997293452
Ratio_PointsRatio,0.0010598103662146086
Team2_PointsPerGame,0.000957976958851825
Ratio_GamesPlayed,0.0008520152377523571
Team2_PointsRatio,0.0008473098712721728
Team1_Team3PPercentage,0.000779717471364083
Team1_TeamBlk,0.0006996106153622783
Diff_TeamOR,0.0006685320563587172
Team2_AvgRank,0.0006545840308079143
Ratio_OpponentPointsPerGame,0.0006540342901845686
Ratio_TeamOR,0.0005384668105267831
Team2_TeamTurnoverPercentage,0.000465927953828249
Team2_Team3PPercentage,0.00040042671050358745
Diff_TeamTurnoverPercentage,0.00035703008058092235
Team1_TeamFTPercentage,0.00022074426243492428
Diff_TeamDefensiveReboundPercentage,0.00014359723796434354
Ratio_AvgRank,0.00013594495267276184
Team2_TeamPF,4.0792508672371496e-05
Diff_TeamStl,-2.6862936306182307e-05
Ratio_TeamFTPercentage,-6.206695262960249e-05
Team2_TeamFTPercentage,-0.00010363127978570973
Ratio_TeamStl,-0.0002753250452694034
Team1_TeamDefensiveReboundPercentage,-0.0003891334125868728
Ratio_WinPercentage,-0.0004193264233334215
Team2_TeamOffensiveReboundPercentage,-0.00043813789542503925
Ratio_TeamFGPercentage,-0.0004651815487168198
SeedDiff,-0.0007605554420366034
Team1_TeamTurnoverPercentage,-0.0007735256332847329
Team1_PointsRatio,-0.0008103627967555926
Diff_TeamTO,-0.0008724239524216637
Team1_TeamEffectiveFGPercentage,-0.0008911253788448037
Ratio_TeamDefensiveReboundPercentage,-0.0010079585636978083
Team2_TeamAst,-0.0012790182499409664
Team1_TeamTO,-0.00139943676605766
Team1_PointsPerGame,-0.0014681396469758967
Team1_AvgRank,-0.0015490723271738838
Team1_TeamFreeThrowRate,-0.0015716578103043388
Ratio_TeamPF,-0.0016207553104676364
Team1_TeamFGPercentage,-0.0018522288354736905
Ratio_Seed,-0.0019390389293250988
Diff_PointsRatio,-0.001980072757551121
Diff_TeamAssistPercentage,-0.0020312334544005384
Team1_PointsDifferential,-0.002045299751079399
Diff_TeamFTPercentage,-0.002046808366511499
Ratio_TeamEffectiveFGPercentage,-0.0021619567238377324
Diff_GamesPlayed,-0.0024011693527479228
Team2_TeamStl,-0.002443675187953809
Diff_WinPercentage,-0.0028939544030742504
Team2_TeamBlk,-0.0031151686502131513
Ratio_TeamAssistPercentage,-0.00379311365472631
Ratio_TeamTO,-0.004460674601216163
Ratio_TeamAst,-0.004666164634975545
Ratio_TeamBlk,-0.005501359231419334
Team2_TeamDR,-0.0056155918389381165
Team1_TeamOffensiveReboundPercentage,-0.0058211116934621335
Diff_TeamEffectiveFGPercentage,-0.00593279960930444
Diff_TeamBlk,-0.00602863467312692
Diff_TeamAst,-0.0060915161144171615
Team1_TeamDR,-0.00732836920264166
