Feature,Importance
Ratio_AvgRank,0.056501664
Diff_AvgRank,0.040703528
Diff_Seed,0.033689193
Ratio_WinPercentage,0.01931201
Ratio_GamesPlayed,0.018902717
Diff_TeamFGPercentage,0.017696844
Ratio_TeamTurnoverPercentage,0.017235951
Diff_TeamTurnoverPercentage,0.01670574
Diff_TeamFreeThrowRate,0.015993997
Team1_TeamOffensiveReboundPercentage,0.015632093
Diff_GamesPlayed,0.015316913
Team2_TeamStl,0.014989069
Team1_TeamEffectiveFGPercentage,0.014865929
Diff_PointsDifferential,0.014142973
SeedDiff,0.013926097
Ratio_TeamEffectiveFGPercentage,0.013818153
Team1_OpponentPointsPerGame,0.013814955
Ratio_Seed,0.013555369
Diff_TeamTO,0.013473724
Ratio_TeamStl,0.012612351
Ratio_TeamFGPercentage,0.012539992
Diff_OpponentPointsPerGame,0.0124327075
Ratio_TeamOR,0.012336785
Team2_TeamTurnoverPercentage,0.011031294
Ratio_PointsRatio,0.010627895
Team2_OpponentPointsPerGame,0.010524472
Team1_GamesPlayed,0.010413516
Team2_WinPercentage,0.010220256
Ratio_PointsPerGame,0.010113793
Team2_Team3PPercentage,0.0101010315
Team2_TeamOR,0.009794862
Ratio_OpponentPointsPerGame,0.009744803
Team2_PointsDifferential,0.009681937
Diff_TeamFTPercentage,0.009675562
Team2_PointsPerGame,0.009663415
Team2_TeamTO,0.0096198805
Ratio_TeamOffensiveReboundPercentage,0.009532493
Team2_TeamPF,0.009472509
Team2_GamesPlayed,0.00939448
Diff_TeamOffensiveReboundPercentage,0.009368163
Team1_WinPercentage,0.009353625
Diff_TeamPF,0.009174303
Ratio_TeamFTPercentage,0.009142015
Team1_PointsPerGame,0.0091328
Ratio_TeamBlk,0.009103885
Diff_TeamStl,0.00907064
Team1_TeamFGPercentage,0.008926497
Team1_TeamTurnoverPercentage,0.008911656
Team1_TeamPF,0.008875313
Team1_TeamAst,0.008864904
Team2_TeamDR,0.00885736
Team1_TeamFTPercentage,0.008845417
Diff_PointsRatio,0.008800679
Diff_Team3PPercentage,0.008661947
Diff_WinPercentage,0.008630803
Team1_AvgRank,0.008564572
Ratio_Team3PPercentage,0.008337227
Team2_AvgRank,0.008311579
Diff_TeamOR,0.008298067
Team1_PointsRatio,0.008292012
Diff_TeamBlk,0.008256947
Team1_TeamOR,0.007988703
Team2_TeamFTPercentage,0.007829357
Team1_TeamStl,0.0077961935
Team2_PointsRatio,0.0077161766
Team2_TeamDefensiveReboundPercentage,0.0074484292
Team1_PointsDifferential,0.007433097
Ratio_TeamFreeThrowRate,0.007363296
Team1_TeamDefensiveReboundPercentage,0.007241779
Diff_TeamDefensiveReboundPercentage,0.007138591
Team2_TeamAssistPercentage,0.007096818
Team1_TeamAssistPercentage,0.0070689092
Team1_Team3PPercentage,0.0070066717
Ratio_TeamDR,0.006889334
Team2_TeamFreeThrowRate,0.0066717295
Diff_TeamAssistPercentage,0.0065292204
Team1_TeamTO,0.0064245122
Team2_TeamEffectiveFGPercentage,0.006319716
Team1_TeamFreeThrowRate,0.0062727327
Team2_TeamFGPercentage,0.00616221
Team1_TeamDR,0.0058501735
HigherSeed,0.0057305954
Diff_TeamAst,0.005647053
Diff_PointsPerGame,0.005565572
Team2_TeamBlk,0.005497243
Team2_Seed,0.005477378
Team1_Seed,0.005431418
Team2_TeamOffensiveReboundPercentage,0.0053621405
Diff_TeamDR,0.005228443
Ratio_TeamPF,0.005088651
Ratio_TeamAssistPercentage,0.004972089
Team2_TeamAst,0.0047252104
Team1_TeamBlk,0.004344729
Diff_TeamEffectiveFGPercentage,0.0035986155
Ratio_TeamDefensiveReboundPercentage,0.0032951473
Ratio_TeamAst,0.0031843942
Ratio_TeamTO,0.003012248
